問題,答え,読み,最終確認日
1582年の山崎の戦いではここを制したかどうかが勝敗の決め手となったため、その名はスポーツなど勝負事の重要局面を指す比喩表現としても使われる、京都府大山崎町にある標高270mの山は何山でしょう？,天王山,てんのう,2020/05/22
158節からなるものの普通は2節までしか演奏されない、ギリシャとキプロスに共通する世界一長い国歌は何でしょう？,『自由への賛歌』,じゆうへのさんか,2020/05/22
1890年に和歌山県沖で座礁・沈没し、その乗員の救助活動に地元民らがあたったことが日本とトルコの友好のきっかけになったとされる、当時のオスマン帝国の軍艦の名前を「何号」というでしょう？,エルトゥールル号,エルトゥールル,2020/05/22
1918年、宮崎県に理想郷「新しき村」を建設した活動でも知られる、代表作に『お目出たき人』『友情』などの小説がある白樺派の作家は誰でしょう？,武者小路実篤,むしゃのこうじさねあつ,2020/05/22
1931年に赤尾好夫が創業した、受験情報誌『蛍雪時代』や大学入試の過去問題集『全国大学入試問題正解』シリーズを刊行していることで知られる出版社はどこでしょう？,旺文社,おうぶんしゃ,2020/05/22
1932年に女性初の大西洋単独横断飛行を成功させた、「ミス・リンディ」の愛称で呼ばれたアメリカの飛行士は誰でしょう？,アメリア・イアハート,イアハート,2020/05/22
1939年にアメリカ・オハイオ州で創業された牛乳店をルーツとするため、ロゴに牛乳を運ぶ缶が描かれている、日本でもおなじみのコンビニエンスストアチェーンは何でしょう？,ローソン,ローソン,2020/05/22
1949年と1950年の2度にわたりGHQに提出された、戦後日本の税制改革に関する報告書を、これを提出した税制使節団の団長であるアメリカの経済学者の名から「何勧告」というでしょう？,シャウプ勧告,シャウプ,2020/05/22
1950年に起きた金閣寺放火事件を題材とした小説『金閣寺』や遺作となった『豊饒の海』を著したことで知られる作家は誰でしょう？,三島由紀夫,みしまゆきお,2020/05/22
1954年に福島県会津若松市に「味よし食堂」として創業した、「醤油ラーメン司」などのメニューがあるラーメンチェーンは何でしょう？,幸楽苑,こうらくえん,2020/05/22
1969年のノーベル物理学賞受賞者で、陽子や中性子などを構成する粒子を「クォーク」と命名したことで知られるアメリカの物理学者は誰でしょう？,マレー・ゲルマン,ゲルマン,2020/05/22
1972年にアメリカでボブ・ルミューにより発明されたとされる、空気が吹き出すテーブルの上でパックと呼ばれる円盤を打ち合うインドア競技は何でしょう？,エアホッケー,エアホッケー,2020/05/22
1973年にシングル『あなたに夢中』でデビューし、『年下の男の子』『ハートのエースが出てこない』『春一番』などのヒット曲で国民的人気を博した、伊藤蘭、田中好子、藤村美樹の3人からなっていた女性アイドルグループは何でしょう？,キャンディーズ,キャンディーズ,2020/05/22
1976年から『週刊少年ジャンプ』で40年にわたって連載され、単行本は「発刊巻数が最も多い単一漫画シリーズ」としてギネス世界記録に認定された、秋本治の漫画は何でしょう？,『こちら葛飾区亀有公園前派出所』,こちらかつしかくかめありこうえんまえはしゅつじょ,2020/05/22
1977年に『HOUSE』で商業映画監督デビューを果たした、代表作に『転校生』『時をかける少女』『さびしんぼう』の「尾道三部作」がある映画監督は誰でしょう？,大林宣彦,おおばやしのぶひこ,2020/05/22
1987年に『テレビの中に』でデビューした、代表曲に『愛は勝つ』がある日本のシンガーソングライターは誰でしょう？,KAN,カン,2020/05/22
1998年1月31日に公開された中田秀夫が監督を務めた映画で、髪の長い女の幽霊「山村貞子」が登場するホラー映画は何でしょう？,『リング』,リング,2020/05/22
2003年にシングル『桃ノ花ビラ』でデビューした、代表曲に『プラネタリウム』『さくらんぼ』などがあるシンガーソングライターは誰でしょう？,大塚愛,おおつかあい,2020/05/22
2004年にビデオゲーム初のグッドデザイン賞受賞作となった、主人公の王子が塊を転がし、ものを巻き込みながら大きくしていくことを目指す、当時のナムコから発売されたアクションゲームは何でしょう？,『塊魂』,かたまりだましい,2020/05/22
2006年までは「みどりの日」であった、4月29日にあたる日本の国民の祝日の現在の名前は何でしょう？,昭和の日,しょうわのひ,2020/05/22
2013年より荒川弘作画の漫画版の連載が行われている、古代ペルシャを模した架空の王国・パルスを主な舞台として王太子一行の活躍などを描く、田中芳樹のファンタジー小説シリーズは何でしょう？,『アルスラーン戦記』,アルスラーンせんき,2020/05/22
254勝10敗で勝率9割6分という通算成績を残し、あまりの強さから張り手・突っ張り・かんぬきが禁じられたという俗説がある、日本の相撲史上最強だったとされる江戸時代の力士は誰でしょう？,雷電爲右エ門,らいでん,2020/05/22
ATPカップ、フェドカップ、デビスカップといえば、何というスポーツの国別対抗戦でしょう？,テニス,テニス,2020/05/22
JAS規格では太さが直径1.3mm未満と定義される、小麦粉を原料とし、日本で夏によく食べられる麺は何でしょう？,素麺／索麺,そうめん,2020/05/22
アーチェリーの標的の得点帯のうち、最も低い点数である外側部分の色は何色でしょう？,白,しろ,2020/05/22
アジアで唯一赤道が領土上に通っている国はどこでしょう？,インドネシア,インドネシア,2020/05/22
アニメ『サザエさん』で、ノリスケ・タイコ・イクラの一家の名字は何でしょう？,波野,なみの,2020/05/22
アメリカ・オハイオ州の都市名が付けられた、一般に種無しブドウとして流通することが多い、実が小粒のブドウの品種は何でしょう？,デラウェア,デラウェア,2020/05/22
